"TAX","Revenue category","GOV","Level of government","YEA","Year","Value","Flag Codes","Flags"
"TOTAL","Total tax and non-tax revenue","FED","Federal or Central government","1990","1990",71355.622,,
"TOTAL","Total tax and non-tax revenue","FED","Federal or Central government","1991","1991",77128.129,,
"TOTAL","Total tax and non-tax revenue","FED","Federal or Central government","1992","1992",81330.224,,
"TOTAL","Total tax and non-tax revenue","FED","Federal or Central government","1993","1993",93248.899,,
"TOTAL","Total tax and non-tax revenue","FED","Federal or Central government","1994","1994",109752.401,,
"TOTAL","Total tax and non-tax revenue","FED","Federal or Central government","1995","1995",124783.794,,
"TOTAL","Total tax and non-tax revenue","FED","Federal or Central government","1996","1996",144974.808,,
"TOTAL","Total tax and non-tax revenue","FED","Federal or Central government","1997","1997",162151.283,,
"TOTAL","Total tax and non-tax revenue","FED","Federal or Central government","1998","1998",183739.098,,
"TOTAL","Total tax and non-tax revenue","FED","Federal or Central government","1999","1999",200049.896,,
"TOTAL","Total tax and non-tax revenue","FED","Federal or Central government","2000","2000",215695.752,,
"TOTAL","Total tax and non-tax revenue","FED","Federal or Central government","2001","2001",252687.901,,
"TOTAL","Total tax and non-tax revenue","FED","Federal or Central government","2002","2002",283859.437,,
"TOTAL","Total tax and non-tax revenue","FED","Federal or Central government","2003","2003",297265.677,,
"TOTAL","Total tax and non-tax revenue","FED","Federal or Central government","2004","2004",339376.904,,
"TOTAL","Total tax and non-tax revenue","FED","Federal or Central government","2005","2005",404001.905,,
"TOTAL","Total tax and non-tax revenue","FED","Federal or Central government","2006","2006",486578.721,,
"TOTAL","Total tax and non-tax revenue","FED","Federal or Central government","2007","2007",574563.595,,
"TOTAL","Total tax and non-tax revenue","FED","Federal or Central government","2008","2008",637283.214,,
"TOTAL","Total tax and non-tax revenue","FED","Federal or Central government","2009","2009",617846.954,,
"TOTAL","Total tax and non-tax revenue","FED","Federal or Central government","2010","2010",673898.46,,
"TOTAL","Total tax and non-tax revenue","FED","Federal or Central government","2011","2011",762331.17,,
"TOTAL","Total tax and non-tax revenue","FED","Federal or Central government","2012","2012",828529.513,,
"TOTAL","Total tax and non-tax revenue","FED","Federal or Central government","2013","2013",913473.027,,
"TOTAL","Total tax and non-tax revenue","FED","Federal or Central government","2014","2014",999342.99,,
"TOTAL","Total tax and non-tax revenue","FED","Federal or Central government","2015","2015",1116938.035,,
"TOTAL","Total tax and non-tax revenue","FED","Federal or Central government","2016","2016",1182868.027,,
"TOTAL","Total tax and non-tax revenue","FED","Federal or Central government","2017","2017",1252345.592,,
"TOTAL","Total tax and non-tax revenue","FED","Federal or Central government","2018","2018",1346066.06,,
"TOTALTAX","Total tax revenue","FED","Federal or Central government","1990","1990",71355.622,,
"TOTALTAX","Total tax revenue","FED","Federal or Central government","1991","1991",77128.129,,
"TOTALTAX","Total tax revenue","FED","Federal or Central government","1992","1992",81330.224,,
"TOTALTAX","Total tax revenue","FED","Federal or Central government","1993","1993",93248.899,,
"TOTALTAX","Total tax revenue","FED","Federal or Central government","1994","1994",107869.397,,
"TOTALTAX","Total tax revenue","FED","Federal or Central government","1995","1995",121920.047,,
"TOTALTAX","Total tax revenue","FED","Federal or Central government","1996","1996",141192.694,,
"TOTALTAX","Total tax revenue","FED","Federal or Central government","1997","1997",158556.304,,
"TOTALTAX","Total tax revenue","FED","Federal or Central government","1998","1998",179107.122,,
"TOTALTAX","Total tax revenue","FED","Federal or Central government","1999","1999",195772.7,,
"TOTALTAX","Total tax revenue","FED","Federal or Central government","2000","2000",211561.143,,
"TOTALTAX","Total tax revenue","FED","Federal or Central government","2001","2001",247620.482,,
"TOTALTAX","Total tax revenue","FED","Federal or Central government","2002","2002",278536.566,,
"TOTALTAX","Total tax revenue","FED","Federal or Central government","2003","2003",290243.86,,
"TOTALTAX","Total tax revenue","FED","Federal or Central government","2004","2004",332908.362,,
"TOTALTAX","Total tax revenue","FED","Federal or Central government","2005","2005",395103.384,,
"TOTALTAX","Total tax revenue","FED","Federal or Central government","2006","2006",474042.723,,
"TOTALTAX","Total tax revenue","FED","Federal or Central government","2007","2007",560243.688,,
"TOTALTAX","Total tax revenue","FED","Federal or Central government","2008","2008",620987.343,,
"TOTALTAX","Total tax revenue","FED","Federal or Central government","2009","2009",604954.284,,
"TOTALTAX","Total tax revenue","FED","Federal or Central government","2010","2010",657706.11,,
"TOTALTAX","Total tax revenue","FED","Federal or Central government","2011","2011",743654.942,,
"TOTALTAX","Total tax revenue","FED","Federal or Central government","2012","2012",809779.935,,
"TOTALTAX","Total tax revenue","FED","Federal or Central government","2013","2013",893090.897,,
"TOTALTAX","Total tax revenue","FED","Federal or Central government","2014","2014",979421.452,,
"TOTALTAX","Total tax revenue","FED","Federal or Central government","2015","2015",1099003.805,,
"TOTALTAX","Total tax revenue","FED","Federal or Central government","2016","2016",1162634.386,,
"TOTALTAX","Total tax revenue","FED","Federal or Central government","2017","2017",1230634.947,,
"TOTALTAX","Total tax revenue","FED","Federal or Central government","2018","2018",1318304.585,,
"1000","1000 Taxes on income, profits and capital gains","FED","Federal or Central government","1990","1990",39887.749,,
"1000","1000 Taxes on income, profits and capital gains","FED","Federal or Central government","1991","1991",43275.891,,
"1000","1000 Taxes on income, profits and capital gains","FED","Federal or Central government","1992","1992",45899.636,,
"1000","1000 Taxes on income, profits and capital gains","FED","Federal or Central government","1993","1993",49871.365,,
"1000","1000 Taxes on income, profits and capital gains","FED","Federal or Central government","1994","1994",57372.71,,
"1000","1000 Taxes on income, profits and capital gains","FED","Federal or Central government","1995","1995",65564.712,,
"1000","1000 Taxes on income, profits and capital gains","FED","Federal or Central government","1996","1996",78990.773,,
"1000","1000 Taxes on income, profits and capital gains","FED","Federal or Central government","1997","1997",89772.075,,
"1000","1000 Taxes on income, profits and capital gains","FED","Federal or Central government","1998","1998",104444.633,,
"1000","1000 Taxes on income, profits and capital gains","FED","Federal or Central government","1999","1999",113083.5,,
"1000","1000 Taxes on income, profits and capital gains","FED","Federal or Central government","2000","2000",119978.888,,
"1000","1000 Taxes on income, profits and capital gains","FED","Federal or Central government","2001","2001",146549.215,,
"1000","1000 Taxes on income, profits and capital gains","FED","Federal or Central government","2002","2002",160496.36,,
"1000","1000 Taxes on income, profits and capital gains","FED","Federal or Central government","2003","2003",167689.343,,
"1000","1000 Taxes on income, profits and capital gains","FED","Federal or Central government","2004","2004",182977.751,,
"1000","1000 Taxes on income, profits and capital gains","FED","Federal or Central government","2005","2005",220196.649,,
"1000","1000 Taxes on income, profits and capital gains","FED","Federal or Central government","2006","2006",262091.14,,
"1000","1000 Taxes on income, profits and capital gains","FED","Federal or Central government","2007","2007",317849.659,,
"1000","1000 Taxes on income, profits and capital gains","FED","Federal or Central government","2008","2008",370816.289,,
"1000","1000 Taxes on income, profits and capital gains","FED","Federal or Central government","2009","2009",357739.491,,
"1000","1000 Taxes on income, profits and capital gains","FED","Federal or Central government","2010","2010",368117.675,,
"1000","1000 Taxes on income, profits and capital gains","FED","Federal or Central government","2011","2011",412135.384,,
"1000","1000 Taxes on income, profits and capital gains","FED","Federal or Central government","2012","2012",447923.475,,
"1000","1000 Taxes on income, profits and capital gains","FED","Federal or Central government","2013","2013",490305.281,,
"1000","1000 Taxes on income, profits and capital gains","FED","Federal or Central government","2014","2014",543215.856,,
"1000","1000 Taxes on income, profits and capital gains","FED","Federal or Central government","2015","2015",608229.301,,
"1000","1000 Taxes on income, profits and capital gains","FED","Federal or Central government","2016","2016",644258.935,,
"1000","1000 Taxes on income, profits and capital gains","FED","Federal or Central government","2017","2017",700574.241,,
"1000","1000 Taxes on income, profits and capital gains","FED","Federal or Central government","2018","2018",736733.572,,
"1100","1100 Taxes on income, profits and capital gains of individuals","FED","Federal or Central government","1990","1990",22965.79,,
"1100","1100 Taxes on income, profits and capital gains of individuals","FED","Federal or Central government","1991","1991",28324.637,,
"1100","1100 Taxes on income, profits and capital gains of individuals","FED","Federal or Central government","1992","1992",33106.889,,
"1100","1100 Taxes on income, profits and capital gains of individuals","FED","Federal or Central government","1993","1993",36373.027,,
"1100","1100 Taxes on income, profits and capital gains of individuals","FED","Federal or Central government","1994","1994",42534.278,,
"1100","1100 Taxes on income, profits and capital gains of individuals","FED","Federal or Central government","1995","1995",49519.795,,
"1100","1100 Taxes on income, profits and capital gains of individuals","FED","Federal or Central government","1996","1996",57275.289,,
"1100","1100 Taxes on income, profits and capital gains of individuals","FED","Federal or Central government","1997","1997",65680.831,,
"1100","1100 Taxes on income, profits and capital gains of individuals","FED","Federal or Central government","1998","1998",74608.382,,
"1100","1100 Taxes on income, profits and capital gains of individuals","FED","Federal or Central government","1999","1999",83686.9,,
"1100","1100 Taxes on income, profits and capital gains of individuals","FED","Federal or Central government","2000","2000",87104.787,,
"1100","1100 Taxes on income, profits and capital gains of individuals","FED","Federal or Central government","2001","2001",88026.998,,
"1100","1100 Taxes on income, profits and capital gains of individuals","FED","Federal or Central government","2002","2002",92840.505,,
"1100","1100 Taxes on income, profits and capital gains of individuals","FED","Federal or Central government","2003","2003",98219.196,,
"1100","1100 Taxes on income, profits and capital gains of individuals","FED","Federal or Central government","2004","2004",107851.164,,
"1100","1100 Taxes on income, profits and capital gains of individuals","FED","Federal or Central government","2005","2005",122278.793,,
"1100","1100 Taxes on income, profits and capital gains of individuals","FED","Federal or Central government","2006","2006",135368.496,,
"1100","1100 Taxes on income, profits and capital gains of individuals","FED","Federal or Central government","2007","2007",160814.174,,
"1100","1100 Taxes on income, profits and capital gains of individuals","FED","Federal or Central government","2008","2008",189697.949,,
"1100","1100 Taxes on income, profits and capital gains of individuals","FED","Federal or Central government","2009","2009",198116.964,,
"1100","1100 Taxes on income, profits and capital gains of individuals","FED","Federal or Central government","2010","2010",219885.82,,
"1100","1100 Taxes on income, profits and capital gains of individuals","FED","Federal or Central government","2011","2011",243055.894,,
"1100","1100 Taxes on income, profits and capital gains of individuals","FED","Federal or Central government","2012","2012",267952.081,,
"1100","1100 Taxes on income, profits and capital gains of individuals","FED","Federal or Central government","2013","2013",300559.448,,
"1100","1100 Taxes on income, profits and capital gains of individuals","FED","Federal or Central government","2014","2014",340707.68,,
"1100","1100 Taxes on income, profits and capital gains of individuals","FED","Federal or Central government","2015","2015",393231.694,,
"1100","1100 Taxes on income, profits and capital gains of individuals","FED","Federal or Central government","2016","2016",418548.06,,
"1100","1100 Taxes on income, profits and capital gains of individuals","FED","Federal or Central government","2017","2017",453768.395,,
"1100","1100 Taxes on income, profits and capital gains of individuals","FED","Federal or Central government","2018","2018",489732.58,,
"1110","1110 On income and profits of individuals","FED","Federal or Central government","1990","1990",22965.79,,
"1110","1110 On income and profits of individuals","FED","Federal or Central government","1991","1991",28324.637,,
"1110","1110 On income and profits of individuals","FED","Federal or Central government","1992","1992",33106.889,,
"1110","1110 On income and profits of individuals","FED","Federal or Central government","1993","1993",36373.027,,
"1110","1110 On income and profits of individuals","FED","Federal or Central government","1994","1994",42534.278,,
"1110","1110 On income and profits of individuals","FED","Federal or Central government","1995","1995",49519.795,,
"1110","1110 On income and profits of individuals","FED","Federal or Central government","1996","1996",57275.289,,
"1110","1110 On income and profits of individuals","FED","Federal or Central government","1997","1997",65680.831,,
"1110","1110 On income and profits of individuals","FED","Federal or Central government","1998","1998",74608.382,,
"1110","1110 On income and profits of individuals","FED","Federal or Central government","1999","1999",83686.9,,
"1110","1110 On income and profits of individuals","FED","Federal or Central government","2000","2000",87104.787,,
"1110","1110 On income and profits of individuals","FED","Federal or Central government","2001","2001",88026.998,,
"1110","1110 On income and profits of individuals","FED","Federal or Central government","2002","2002",92840.505,,
"1110","1110 On income and profits of individuals","FED","Federal or Central government","2003","2003",98219.196,,
"1110","1110 On income and profits of individuals","FED","Federal or Central government","2004","2004",107851.164,,
"1110","1110 On income and profits of individuals","FED","Federal or Central government","2005","2005",122278.793,,
"1110","1110 On income and profits of individuals","FED","Federal or Central government","2006","2006",135368.496,,
"1110","1110 On income and profits of individuals","FED","Federal or Central government","2007","2007",160814.174,,
"1110","1110 On income and profits of individuals","FED","Federal or Central government","2008","2008",189697.949,,
"1110","1110 On income and profits of individuals","FED","Federal or Central government","2009","2009",198116.964,,
"1110","1110 On income and profits of individuals","FED","Federal or Central government","2010","2010",219885.82,,
"1110","1110 On income and profits of individuals","FED","Federal or Central government","2011","2011",243055.894,,
"1110","1110 On income and profits of individuals","FED","Federal or Central government","2012","2012",267952.081,,
"1110","1110 On income and profits of individuals","FED","Federal or Central government","2013","2013",300559.448,,
"1110","1110 On income and profits of individuals","FED","Federal or Central government","2014","2014",340707.68,,
"1110","1110 On income and profits of individuals","FED","Federal or Central government","2015","2015",393231.694,,
"1110","1110 On income and profits of individuals","FED","Federal or Central government","2016","2016",418548.06,,
"1110","1110 On income and profits of individuals","FED","Federal or Central government","2017","2017",453768.395,,
"1110","1110 On income and profits of individuals","FED","Federal or Central government","2018","2018",489732.58,,
"1200","1200 Taxes on income, profits and capital gains of corporates","FED","Federal or Central government","1990","1990",16314.848,,
"1200","1200 Taxes on income, profits and capital gains of corporates","FED","Federal or Central government","1991","1991",14366.82,,
"1200","1200 Taxes on income, profits and capital gains of corporates","FED","Federal or Central government","1992","1992",12220.424,,
"1200","1200 Taxes on income, profits and capital gains of corporates","FED","Federal or Central government","1993","1993",12338.226,,
"1200","1200 Taxes on income, profits and capital gains of corporates","FED","Federal or Central government","1994","1994",12972.368,,
"1200","1200 Taxes on income, profits and capital gains of corporates","FED","Federal or Central government","1995","1995",14427.237,,
"1200","1200 Taxes on income, profits and capital gains of corporates","FED","Federal or Central government","1996","1996",18675.453,,
"1200","1200 Taxes on income, profits and capital gains of corporates","FED","Federal or Central government","1997","1997",19409.255,,
"1200","1200 Taxes on income, profits and capital gains of corporates","FED","Federal or Central government","1998","1998",23464.257,,
"1200","1200 Taxes on income, profits and capital gains of corporates","FED","Federal or Central government","1999","1999",21006.7,,
"1200","1200 Taxes on income, profits and capital gains of corporates","FED","Federal or Central government","2000","2000",23987,,
"1200","1200 Taxes on income, profits and capital gains of corporates","FED","Federal or Central government","2001","2001",45566.826,,
"1200","1200 Taxes on income, profits and capital gains of corporates","FED","Federal or Central government","2002","2002",54975.472,,
"1200","1200 Taxes on income, profits and capital gains of corporates","FED","Federal or Central government","2003","2003",57965.722,,
"1200","1200 Taxes on income, profits and capital gains of corporates","FED","Federal or Central government","2004","2004",63111.105,,
"1200","1200 Taxes on income, profits and capital gains of corporates","FED","Federal or Central government","2005","2005",82627.92,,
"1200","1200 Taxes on income, profits and capital gains of corporates","FED","Federal or Central government","2006","2006",107977.06,,
"1200","1200 Taxes on income, profits and capital gains of corporates","FED","Federal or Central government","2007","2007",137884.946,,
"1200","1200 Taxes on income, profits and capital gains of corporates","FED","Federal or Central government","2008","2008",160234.856,,
"1200","1200 Taxes on income, profits and capital gains of corporates","FED","Federal or Central government","2009","2009",142319.351,,
"1200","1200 Taxes on income, profits and capital gains of corporates","FED","Federal or Central government","2010","2010",132274.849,,
"1200","1200 Taxes on income, profits and capital gains of corporates","FED","Federal or Central government","2011","2011",149776.774,,
"1200","1200 Taxes on income, profits and capital gains of corporates","FED","Federal or Central government","2012","2012",155751.201,,
"1200","1200 Taxes on income, profits and capital gains of corporates","FED","Federal or Central government","2013","2013",173737.856,,
"1200","1200 Taxes on income, profits and capital gains of corporates","FED","Federal or Central government","2014","2014",182022.257,,
"1200","1200 Taxes on income, profits and capital gains of corporates","FED","Federal or Central government","2015","2015",191348.248,,
"1200","1200 Taxes on income, profits and capital gains of corporates","FED","Federal or Central government","2016","2016",200764.557,,
"1200","1200 Taxes on income, profits and capital gains of corporates","FED","Federal or Central government","2017","2017",214316.365,,
"1200","1200 Taxes on income, profits and capital gains of corporates","FED","Federal or Central government","2018","2018",215938.765,,
"1210","1210 On profits of corporates","FED","Federal or Central government","1990","1990",16314.848,,
"1210","1210 On profits of corporates","FED","Federal or Central government","1991","1991",14366.82,,
"1210","1210 On profits of corporates","FED","Federal or Central government","1992","1992",12220.424,,
"1210","1210 On profits of corporates","FED","Federal or Central government","1993","1993",12338.226,,
"1210","1210 On profits of corporates","FED","Federal or Central government","1994","1994",12972.368,,
"1210","1210 On profits of corporates","FED","Federal or Central government","1995","1995",14427.237,,
