,Equitable Share,Total Allocations,Allocation_x000D_Ratio,Level-5 Hospitals,Compensation for_x000D_user fees foregone,Rehabiliation of_x000D_Village Polytechnics,Road Maintenance_x000D_Levy Fund,Leasing of Medical_x000D_Equipment,Supplement for_x000D_construction of county_x000D_headquarters,Loans & Grants,Total Allocations,Per capita_x000D_allocation (Kshs),Equitable Share
County,FY 2018/19,FY 2019/20,,,,,,,,,,,
Baringo,"4,940,384,400","5,778,725,715",1.62,-,"13,191,000","35,605,000","145,541,813","131,914,894",-,"322,825,892","5,671,078,597","10,208","5,022,000,000"
Bomet,"5,763,781,800","6,680,554,474",1.89,-,"16,713,356","47,875,000","169,798,781","131,914,894",-,"454,770,099","6,680,072,130","9,224","5,859,000,000"
Bungoma,"8,691,417,000","9,998,082,441",2.85,-,"32,837,307","65,500,000","256,045,781","131,914,894",-,"920,852,734","10,242,150,715","6,280","8,835,000,000"
Busia,"5,794,278,000","6,744,720,378",1.9,-,"16,934,085","61,960,000","170,697,188","131,914,894",-,"416,541,031","6,688,047,197","13,703","5,890,000,000"
Elgeyo/Marakwet,"3,659,544,000","4,457,455,034",1.2,-,"8,788,919","41,800,000","107,808,750","131,914,894",-,"352,407,368","4,362,719,930","11,791","3,720,000,000"
Embu,"4,330,460,400","5,421,155,761",1.42,"310,342,613","10,724,225","37,900,000","127,573,688","131,914,894",-,"579,492,895","5,599,948,314","10,848","4,402,000,000"
Garissa,"6,739,660,200","9,134,942,947",2.21,"355,392,347","12,964,636","35,335,000","198,547,781","131,914,894",-,"915,889,383","8,501,044,040","13,644","6,851,000,000"
Homa Bay,"6,495,690,600","7,419,924,616",2.13,-,"22,185,346","46,675,000","191,360,531","131,914,894",-,"597,301,103","7,592,436,873","7,878","6,603,000,000"
Isiolo,"3,812,025,000","4,685,826,269",1.25,-,"3,472,461","21,235,000","112,300,781","131,914,894","121,000,000","395,695,130","4,660,618,265","32,525","3,875,000,000"
Kajiado,"5,824,774,200","6,812,115,049",1.91,-,"16,955,365","40,345,000","171,595,594","131,914,894",-,"616,594,684","6,898,405,536","10,037","5,921,000,000"
Kakamega,"10,033,249,800","11,888,141,665",3.29,"440,486,289","37,789,290","69,910,000","295,575,656","131,914,894",-,"699,868,864","11,874,544,993","7,151","10,199,000,000"
Kericho,"5,550,308,400","6,517,000,071",1.82,-,"18,048,789","41,005,000","163,509,938","131,914,894",-,"597,080,638","6,593,559,258","8,695","5,642,000,000"
Kiambu,"9,087,867,600","12,406,684,614",2.98,"551,469,711","34,671,542","68,110,000","267,725,063","131,914,894",-,"2,378,909,369","12,670,800,578","7,806","9,238,000,000"
Kilifi,"10,521,189,000","12,215,750,837",3.45,-,"25,969,864","53,035,000","309,950,156","131,914,894",-,"1,498,016,666","12,713,886,580","11,457","10,695,000,000"
