,TAX,RevenueCategory,GOV,LevelOfGovernment,Year,MillionZAR
0,TOTAL,Total tax and non-tax revenue,FED,Federal or Central government,1990,71355.622
1,TOTAL,Total tax and non-tax revenue,FED,Federal or Central government,1991,77128.129
2,TOTAL,Total tax and non-tax revenue,FED,Federal or Central government,1992,81330.224
3,TOTAL,Total tax and non-tax revenue,FED,Federal or Central government,1993,93248.899
4,TOTAL,Total tax and non-tax revenue,FED,Federal or Central government,1994,109752.401
5,TOTAL,Total tax and non-tax revenue,FED,Federal or Central government,1995,124783.79400000001
6,TOTAL,Total tax and non-tax revenue,FED,Federal or Central government,1996,144974.80800000002
7,TOTAL,Total tax and non-tax revenue,FED,Federal or Central government,1997,162151.283
8,TOTAL,Total tax and non-tax revenue,FED,Federal or Central government,1998,183739.098
9,TOTAL,Total tax and non-tax revenue,FED,Federal or Central government,1999,200049.896
10,TOTAL,Total tax and non-tax revenue,FED,Federal or Central government,2000,215695.75199999998
11,TOTAL,Total tax and non-tax revenue,FED,Federal or Central government,2001,252687.901
12,TOTAL,Total tax and non-tax revenue,FED,Federal or Central government,2002,283859.437
13,TOTAL,Total tax and non-tax revenue,FED,Federal or Central government,2003,297265.67699999997
14,TOTAL,Total tax and non-tax revenue,FED,Federal or Central government,2004,339376.904
15,TOTAL,Total tax and non-tax revenue,FED,Federal or Central government,2005,404001.905
16,TOTAL,Total tax and non-tax revenue,FED,Federal or Central government,2006,486578.721
17,TOTAL,Total tax and non-tax revenue,FED,Federal or Central government,2007,574563.595
18,TOTAL,Total tax and non-tax revenue,FED,Federal or Central government,2008,637283.214
19,TOTAL,Total tax and non-tax revenue,FED,Federal or Central government,2009,617846.954
20,TOTAL,Total tax and non-tax revenue,FED,Federal or Central government,2010,673898.46
21,TOTAL,Total tax and non-tax revenue,FED,Federal or Central government,2011,762331.17
22,TOTAL,Total tax and non-tax revenue,FED,Federal or Central government,2012,828529.5129999999
23,TOTAL,Total tax and non-tax revenue,FED,Federal or Central government,2013,913473.027
24,TOTAL,Total tax and non-tax revenue,FED,Federal or Central government,2014,999342.99
25,TOTAL,Total tax and non-tax revenue,FED,Federal or Central government,2015,1116938.035
26,TOTAL,Total tax and non-tax revenue,FED,Federal or Central government,2016,1182868.027
27,TOTAL,Total tax and non-tax revenue,FED,Federal or Central government,2017,1252345.592
28,TOTAL,Total tax and non-tax revenue,FED,Federal or Central government,2018,1346066.06
